Image Name,CPU Usage (%),Memory Usage (MiB),Runtime (seconds)
020-117.jpg,5.4,655.6,1.5432140827178955
013-48.jpg,25.7,609.9,1.0763351917266846
001-196.jpg,49.0,184.7,1.2622871398925781
019-147.jpg,29.5,183.4,1.0939559936523438
038-105.jpg,29.3,178.8,1.1126699447631836
001-60.jpg,42.9,177.6,1.1420707702636719
001-61.jpg,19.4,177.8,1.1439480781555176
002-30.jpg,16.9,181.8,1.1000659465789795
012-108.jpg,7.8,179.3,1.0825567245483398
019-146.jpg,48.7,181.4,1.0904490947723389
001-197.jpg,14.4,181.1,1.082554817199707
027-41_2.jpg,9.0,183.8,1.1335179805755615
030-100.jpg,41.5,189.0,1.0792629718780518
001-142.jpg,15.5,175.9,1.2022299766540527
030-80.jpg,14.9,170.4,1.1191906929016113
001-88.jpg,46.7,176.2,1.1378438472747803
005-189.jpg,20.5,174.2,1.1222591400146484
001-63.jpg,6.5,179.5,1.0939280986785889
001-62.jpg,7.1,183.5,1.0861051082611084
001-89.jpg,7.5,186.7,1.0866608619689941
039-99.jpg,61.0,184.4,1.108856201171875
019-145.jpg,9.6,184.1,1.1261529922485352
001-143.jpg,7.4,183.2,1.0824360847473145
084-122.jpg,8.7,185.3,1.0868909358978271
019-227.jpg,8.8,184.0,1.111297607421875
013-66.jpg,9.2,184.4,1.0919439792633057
001-231.jpg,7.2,181.4,1.0924110412597656
020-43.jpg,9.6,184.9,1.0884792804718018
020-80.jpg,29.6,187.0,1.0890560150146484
075-43.jpg,5.8,180.5,1.1180789470672607
002-36.jpg,10.8,181.8,1.3279688358306885
002-126.jpg,10.7,179.0,1.257868766784668
019-154.jpg,14.0,183.2,1.0854711532592773
045-193.jpg,17.4,181.5,1.0872581005096436
020-6.jpg,8.7,181.3,1.111785888671875
006-104.jpg,11.3,185.1,1.0728399753570557
045-230.jpg,10.2,181.6,1.0720038414001465
001-144.jpg,9.9,178.4,1.089015007019043
005-206.jpg,18.9,183.3,1.0757899284362793
001-232.jpg,50.7,183.5,1.1211020946502686
001-64.jpg,14.9,177.1,1.289999008178711
001-70.jpg,16.3,175.9,1.132538080215454
005-171.jpg,6.1,183.1,1.0849809646606445
