Image Name,CPU Usage (%),Memory Usage (KB),Runtime (seconds)
020-117.jpg,3.8857760429382324,458.2,7.5
013-48.jpg,2.140946865081787,452.2,5.5
001-196.jpg,2.1932408809661865,369.4,20.6
019-147.jpg,2.1632909774780273,359.0,8.9
038-105.jpg,2.137165069580078,361.3,13.1
001-60.jpg,2.2578787803649902,352.3,47.4
001-61.jpg,2.2043850421905518,321.7,4.3
002-30.jpg,2.22969913482666,323.4,42.9
012-108.jpg,2.358309268951416,328.9,59.9
019-146.jpg,2.2831318378448486,323.2,42.4
001-197.jpg,2.1379168033599854,330.7,35.2
027-41_2.jpg,2.1233179569244385,339.1,23.5
030-100.jpg,2.140507221221924,342.6,49.3
001-142.jpg,2.27708101272583,322.0,28.3
030-80.jpg,2.1339762210845947,329.9,23.5
001-88.jpg,2.128521203994751,337.3,10.6
005-189.jpg,2.1654579639434814,334.1,9.6
001-63.jpg,2.135477304458618,338.7,9.3
001-62.jpg,2.153966188430786,335.2,7.2
001-89.jpg,2.1223831176757812,339.1,9.6
039-99.jpg,2.1352241039276123,338.1,29.6
019-145.jpg,2.209713935852051,334.0,7.9
001-143.jpg,2.4515440464019775,325.5,19.3
084-122.jpg,2.319293975830078,322.5,15.7
019-227.jpg,2.1788527965545654,322.4,14.0
013-66.jpg,2.1385738849639893,326.9,15.8
001-231.jpg,2.1742970943450928,334.9,8.4
020-43.jpg,2.1221020221710205,342.8,15.7
020-80.jpg,2.1450719833374023,339.0,10.6
075-43.jpg,2.1317570209503174,336.6,10.3
002-36.jpg,2.158924102783203,336.2,19.1
002-126.jpg,2.213331937789917,324.5,47.5
019-154.jpg,2.1930460929870605,321.9,32.6
045-193.jpg,2.194646120071411,323.9,24.1
020-6.jpg,2.1348907947540283,329.3,23.0
006-104.jpg,2.263322114944458,333.4,30.3
045-230.jpg,2.1380209922790527,338.6,21.2
001-144.jpg,2.2202858924865723,327.6,24.3
005-206.jpg,2.1441519260406494,331.7,14.5
001-232.jpg,2.172943115234375,333.9,33.0
001-64.jpg,2.1412830352783203,334.7,26.8
001-70.jpg,2.218319892883301,332.2,30.0
005-171.jpg,2.2007739543914795,328.5,19.8
001-233.jpg,2.164398193359375,330.5,15.8
002-35.jpg,2.1386160850524902,342.7,20.8
005-14.jpg,2.130575656890869,342.0,20.9
037-59.jpg,2.1281187534332275,341.2,4.9
001-151.jpg,2.127764940261841,339.3,24.6
006-105.jpg,2.2245662212371826,332.2,32.3
019-209.jpg,2.3509490489959717,330.4,49.4
