Image Name,CPU Usage (%),Memory Usage (KB),Runtime (seconds)
020-117.jpg,3.845036029815674,480.9,10.9
013-48.jpg,2.207422971725464,352.8,12.5
001-196.jpg,2.135127067565918,349.6,20.5
019-147.jpg,2.12699818611145,351.8,17.5
038-105.jpg,2.150467872619629,347.6,19.5
001-60.jpg,2.6650192737579346,339.3,48.0
001-61.jpg,3.0699119567871094,301.3,24.1
002-30.jpg,2.215571165084839,338.6,19.2
012-108.jpg,2.1524839401245117,354.6,44.2
019-146.jpg,2.337474822998047,321.5,23.3
001-197.jpg,2.1559090614318848,323.5,16.4
027-41_2.jpg,2.1468029022216797,323.5,29.4
030-100.jpg,2.2193381786346436,321.2,21.7
001-142.jpg,2.1427290439605713,325.8,10.2
030-80.jpg,2.2067952156066895,320.5,13.7
001-88.jpg,2.1419677734375,329.6,12.7
005-189.jpg,2.1419031620025635,330.8,7.0
001-63.jpg,2.1596181392669678,336.4,8.6
001-62.jpg,2.125559091567993,333.2,31.2
001-89.jpg,2.1908841133117676,323.1,17.0
039-99.jpg,2.133557081222534,326.2,19.7
019-145.jpg,2.1395370960235596,328.5,9.7
001-143.jpg,2.128338098526001,329.4,11.0
084-122.jpg,2.1471641063690186,328.6,16.4
019-227.jpg,2.2017478942871094,321.4,10.7
013-66.jpg,2.137521743774414,329.1,8.9
001-231.jpg,2.1615049839019775,334.6,6.6
020-43.jpg,2.140825033187866,333.8,70.1
020-80.jpg,2.210252046585083,317.0,48.8
075-43.jpg,2.140374183654785,322.1,31.2
002-36.jpg,2.156489133834839,321.4,30.6
002-126.jpg,2.139901876449585,326.8,35.8
019-154.jpg,2.495000123977661,319.7,65.3
045-193.jpg,2.2137980461120605,314.7,64.5
020-6.jpg,2.2941067218780518,316.9,58.6
006-104.jpg,2.9158921241760254,289.8,48.8
045-230.jpg,2.8801920413970947,303.5,44.6
001-144.jpg,2.483242988586426,320.7,55.4
005-206.jpg,2.2700581550598145,318.5,45.9
001-232.jpg,2.1771581172943115,322.1,13.2
001-64.jpg,2.1341848373413086,323.3,16.1
001-70.jpg,2.1406259536743164,327.3,13.9
005-171.jpg,2.2280478477478027,319.8,3.8
001-233.jpg,2.136306047439575,325.8,4.7
002-35.jpg,2.2187161445617676,327.8,14.2
005-14.jpg,2.1297919750213623,330.8,7.8
037-59.jpg,2.2347991466522217,322.5,16.6
001-151.jpg,2.134460926055908,324.0,22.4
006-105.jpg,2.3098270893096924,322.3,36.1
019-209.jpg,2.1786160469055176,318.0,21.4
001-122.jpg,2.154895782470703,324.5,3.5
075-167.jpg,2.137359142303467,328.9,27.3
075-173.jpg,2.141402006149292,333.0,24.2
002-52.jpg,2.1397690773010254,336.1,36.3
075-198.jpg,2.1601600646972656,330.3,32.5
002-156.jpg,2.145591974258423,323.8,48.7
012-94.jpg,2.2011971473693848,325.4,20.8
012-95.jpg,2.158946990966797,325.2,25.8
018-108.jpg,2.1509850025177,325.8,24.9
005-66.jpg,2.211824893951416,318.1,28.3
002-157.jpg,2.125976085662842,324.6,13.2
089-60.jpg,2.2245099544525146,319.1,13.4
002-53.jpg,2.163135051727295,336.3,16.2
002-90.jpg,2.227108955383301,322.3,11.5
075-172.jpg,2.199880838394165,319.0,8.9
075-166.jpg,2.1430530548095703,325.6,9.0
001-123.jpg,2.2192821502685547,320.5,21.1
036-80.jpg,2.269331932067871,310.1,26.8
003-6.jpg,2.226773977279663,309.0,29.8
037-123.jpg,2.231553792953491,308.2,31.5
028-213.jpg,2.2295711040496826,308.0,35.3
075-170.jpg,2.460169792175293,319.1,39.5
002-86.jpg,2.2183589935302734,312.9,45.0
075-164.jpg,2.2608399391174316,313.7,35.7
019-133.jpg,2.2439541816711426,311.5,34.8
002-196.jpg,2.1476738452911377,318.1,15.3
002-51.jpg,2.135122776031494,318.5,8.1
002-155.jpg,2.133708953857422,319.9,27.2
012-97.jpg,2.1257548332214355,325.0,27.4
005-101.jpg,2.153747081756592,328.4,21.3
013-192.jpg,2.1564249992370605,333.5,22.5
012-96.jpg,2.1861677169799805,330.1,28.8
006-202.jpg,2.1452877521514893,331.5,25.1
002-50.jpg,2.1257758140563965,329.5,16.7
019-126.jpg,2.138916015625,334.3,14.9
002-197.jpg,2.149773120880127,328.3,26.3
019-132.jpg,2.4488980770111084,310.0,10.7
002-87.jpg,2.362071990966797,309.7,8.0
075-165.jpg,2.1297199726104736,315.7,28.2
030-21.jpg,2.18392014503479,324.4,15.3
075-171.jpg,2.2855539321899414,317.7,54.8
001-108.jpg,2.231760263442993,311.2,29.5
003-7.jpg,2.1339619159698486,316.2,12.1
003-14.jpg,2.283972978591919,312.0,19.1
001-124.jpg,2.223856210708618,315.2,13.5
019-136.jpg,2.2394821643829346,305.8,29.0
075-175.jpg,2.132244110107422,311.5,23.8
002-83.jpg,2.137097120285034,317.1,23.7
002-68.jpg,2.208549737930298,326.6,29.2
002-178.jpg,2.1248879432678223,326.1,9.5
005-49.jpg,2.2245137691497803,316.5,29.1
012-93.jpg,2.2569079399108887,310.8,34.5
005-48.jpg,2.1429686546325684,313.9,34.2
002-69.jpg,2.2346510887145996,312.4,40.9
002-82.jpg,2.351499080657959,309.5,50.4
075-174.jpg,2.271592140197754,309.5,29.1
019-123.jpg,2.130934000015259,316.7,12.1
019-137.jpg,2.132523775100708,331.8,4.6
003-15.jpg,2.1231443881988525,335.4,4.7
019-135.jpg,2.1196889877319336,336.8,3.7
075-176.jpg,2.1241769790649414,339.2,5.1
075-189.jpg,2.1325511932373047,339.6,7.2
012-91.jpg,2.1439239978790283,332.0,33.1
013-156.jpg,2.972733974456787,295.3,65.4
075-188.jpg,2.2400619983673096,306.9,13.1
076-99.jpg,2.156031847000122,313.6,11.1
075-177.jpg,2.1634769439697266,321.5,17.3
075-163.jpg,2.1400718688964844,323.6,10.7
019-134.jpg,2.2679529190063477,314.6,19.0
063-103.jpg,2.1690239906311035,315.0,19.6
075-185.jpg,2.182486057281494,314.8,55.0
002-67.jpg,2.2551779747009277,311.1,58.1
075-191.jpg,2.2211430072784424,308.1,33.6
002-177.jpg,2.1432881355285645,315.9,31.2
018-100.jpg,2.265923023223877,315.0,34.3
018-101.jpg,2.143847942352295,330.7,38.6
005-136.jpg,2.1488678455352783,326.6,23.2
002-162.jpg,2.144559144973755,328.2,19.2
089-41.jpg,2.153575897216797,318.9,7.9
075-190.jpg,2.1431407928466797,313.1,9.6
075-184.jpg,2.248987913131714,314.4,19.0
002-66.jpg,2.1700639724731445,314.3,22.8
019-138.jpg,2.169562816619873,312.8,24.4
030-156.jpg,2.2382750511169434,309.6,8.5
002-216.jpg,2.1463510990142822,324.6,7.7
037-102.jpg,2.150071859359741,325.9,14.4
021-93.jpg,2.1351969242095947,323.7,11.3
089-80.jpg,2.1465401649475098,318.8,14.1
075-179.jpg,2.2068381309509277,319.1,24.2
075-192.jpg,2.1715331077575684,313.7,16.2
075-186.jpg,2.5458431243896484,243.3,69.2
018-103.jpg,2.2449519634246826,309.5,33.0
001-35.jpg,2.1523799896240234,315.3,21.1
001-34.jpg,2.1615817546844482,324.6,28.5
018-102.jpg,2.187375068664551,322.4,30.8
002-65.jpg,2.1364810466766357,319.4,41.3
075-187.jpg,2.2724101543426514,314.7,41.5
020-221.jpg,2.1430749893188477,319.6,30.2
075-193.jpg,2.168596029281616,317.1,29.8
028-233.jpg,2.199146270751953,313.6,8.6
006-169.jpg,2.168591022491455,314.5,7.8
006-186.jpg,2.1869630813598633,313.5,24.2
042-41.jpg,2.167168617248535,325.9,13.4
013-30.jpg,2.2503488063812256,315.5,12.6
023-44.jpg,2.214138984680176,312.4,11.0
005-83.jpg,2.383466958999634,313.1,29.7
075-168.jpg,2.1474807262420654,318.3,31.6
002-49.jpg,2.23917293548584,309.3,9.6
075-197.jpg,2.1393091678619385,318.0,24.6
075-183.jpg,2.2641608715057373,309.8,41.9
018-106.jpg,2.2807180881500244,309.2,31.7
005-119.jpg,2.201763153076172,319.5,23.1
013-174.jpg,2.251352071762085,316.0,44.2
033-97.jpg,2.3344497680664062,313.1,34.4
005-118.jpg,2.144676685333252,320.4,18.6
075-182.jpg,2.1413018703460693,318.8,20.9
075-196.jpg,2.2030582427978516,311.6,28.0
002-158.jpg,2.1327271461486816,314.0,88.5
075-169.jpg,2.452453851699829,309.9,41.0
020-152.jpg,2.1880719661712646,308.0,29.7
006-185.jpg,2.1443681716918945,327.5,27.9
037-104.jpg,2.254434108734131,322.1,34.3
002-89.jpg,2.2378759384155273,311.2,41.4
075-180.jpg,2.29278302192688,314.1,30.4
075-194.jpg,2.1494667530059814,321.5,22.1
006-218.jpg,2.261699914932251,312.8,36.3
012-98.jpg,2.1582767963409424,312.1,28.3
001-33.jpg,2.287261962890625,312.2,37.2
033-95.jpg,2.314964771270752,309.5,50.8
001-32.jpg,2.235880136489868,321.4,34.4
012-99.jpg,2.2218542098999023,319.9,26.6
075-195.jpg,2.1451961994171143,318.5,11.5
006-219.jpg,2.171539068222046,322.2,14.2
075-181.jpg,2.2331349849700928,309.9,9.5
002-198.jpg,2.1447250843048096,313.6,10.3
002-88.jpg,2.2177181243896484,317.0,16.0
006-153.jpg,2.1795709133148193,315.9,15.3
002-211.jpg,2.1368460655212402,315.2,22.5
006-120.jpg,2.2906360626220703,320.8,34.1
001-160.jpg,2.1288511753082275,325.5,29.7
030-61.jpg,2.2477192878723145,315.0,37.2
075-119.jpg,2.1509358882904053,318.4,33.9
005-31.jpg,2.2031948566436768,313.2,60.0
001-216.jpg,2.562286138534546,310.7,67.6
005-154.jpg,4.327001094818115,254.1,50.1
001-82.jpg,2.2891039848327637,307.2,29.0
001-69.jpg,2.275094985961914,311.0,30.1
001-54.jpg,2.247020959854126,320.4,24.4
030-60.jpg,2.175917863845825,321.8,11.6
005-223.jpg,2.2560980319976807,312.9,26.3
001-161.jpg,2.232923984527588,312.2,47.5
006-121.jpg,2.1478540897369385,319.7,40.3
030-137.jpg,2.1481359004974365,317.6,37.2
020-109.jpg,2.1485660076141357,321.3,28.8
006-137.jpg,2.1654961109161377,320.3,32.4
001-177.jpg,2.1630210876464844,317.7,35.6
012-103.jpg,2.2327380180358887,323.2,37.3
001-81.jpg,2.1389753818511963,326.0,48.4
006-88.jpg,2.264101266860962,314.5,50.6
001-215.jpg,2.314061164855957,316.5,22.1
020-99.jpg,2.132957935333252,320.3,16.4
001-214.jpg,2.2065060138702393,314.4,16.3
006-89.jpg,2.1263821125030518,316.8,30.7
001-162.jpg,2.180473804473877,311.8,32.6
001-176.jpg,2.245584011077881,309.3,32.6
006-136.jpg,2.1351778507232666,327.0,36.8
030-118.jpg,2.185582160949707,321.3,23.1
041-144.jpg,2.2240641117095947,317.0,68.5
077-99.jpg,2.214777946472168,312.7,25.5
005-224.jpg,2.152287244796753,321.8,20.5
012-106.jpg,2.1494359970092773,319.0,36.9
002-16.jpg,2.220710039138794,311.2,14.2
039-80.jpg,2.1350510120391846,320.5,6.4
001-90.jpg,2.1497597694396973,324.1,6.2
020-62.jpg,2.4217357635498047,320.8,6.7
001-53.jpg,2.155099868774414,329.2,4.2
035-100.jpg,2.1534812450408936,331.5,7.2
075-62.jpg,2.178226947784424,349.1,14.6
002-17.jpg,2.6406030654907227,307.0,57.7
012-107.jpg,2.2016210556030273,316.8,24.0
018-73.jpg,2.5334761142730713,310.8,42.7
001-198.jpg,2.3422279357910156,311.9,38.8
085-115.jpg,2.806769847869873,310.2,13.1
001-159.jpg,2.1487269401550293,330.0,19.1
002-29.jpg,2.2183501720428467,317.9,21.1
002-15.jpg,2.125663995742798,324.5,18.5
001-213.jpg,2.2178969383239746,321.0,18.3
002-28.jpg,2.233382225036621,312.3,39.4
