Image Name,CPU Usage (%),Memory Usage (KB),Runtime (seconds)
020-117.jpg,54.5,492.0,2.348106861114502
013-48.jpg,71.1,436.4,2.0841450691223145
001-196.jpg,26.3,429.2,2.1409530639648438
019-147.jpg,28.1,422.9,2.0938267707824707
038-105.jpg,65.3,424.1,2.1270751953125
001-60.jpg,64.5,419.2,2.116835832595825
001-61.jpg,57.2,422.3,2.194817066192627
002-30.jpg,54.3,417.7,2.48764705657959
012-108.jpg,65.4,405.5,2.696983814239502
019-146.jpg,67.5,420.6,2.4393510818481445
001-197.jpg,47.2,422.1,2.217170000076294
027-41_2.jpg,27.8,418.1,2.1434309482574463
030-100.jpg,25.4,421.7,2.067140817642212
001-142.jpg,28.6,427.2,2.0804848670959473
030-80.jpg,27.5,421.6,2.1124308109283447
001-88.jpg,24.4,421.7,2.0771899223327637
005-189.jpg,29.8,424.4,2.0979020595550537
001-63.jpg,21.4,421.4,2.0708141326904297
001-62.jpg,25.4,418.7,2.084414005279541
001-89.jpg,25.7,419.8,2.1188769340515137
039-99.jpg,33.2,417.5,2.0986669063568115
019-145.jpg,35.2,419.1,2.1446971893310547
001-143.jpg,26.0,422.5,2.073709726333618
084-122.jpg,25.2,418.9,2.059858798980713
019-227.jpg,22.4,419.1,2.0557918548583984
013-66.jpg,27.0,419.2,2.063098192214966
001-231.jpg,39.4,424.0,2.1270673274993896
020-43.jpg,30.6,423.3,2.051766872406006
020-80.jpg,48.7,426.0,2.1384079456329346
075-43.jpg,25.2,425.2,2.065574884414673
002-36.jpg,27.4,426.0,2.127242088317871
002-126.jpg,37.6,423.6,2.0588879585266113
019-154.jpg,33.3,417.9,2.1257410049438477
045-193.jpg,28.4,418.4,2.0670359134674072
020-6.jpg,43.9,422.1,2.1218340396881104
006-104.jpg,37.8,421.5,2.080587148666382
045-230.jpg,40.0,418.5,2.069195032119751
001-144.jpg,50.4,418.1,2.1269829273223877
005-206.jpg,30.9,419.5,2.1591081619262695
001-232.jpg,39.7,426.2,2.0978002548217773
001-64.jpg,59.2,399.6,2.218794107437134
001-70.jpg,39.2,397.9,2.162931203842163
005-171.jpg,41.6,396.6,2.148366928100586
001-233.jpg,39.9,398.2,2.1545231342315674
002-35.jpg,44.4,399.4,2.1437511444091797
005-14.jpg,43.5,399.9,2.1544182300567627
037-59.jpg,51.2,396.2,2.1370182037353516
001-151.jpg,48.8,399.1,2.1427509784698486
006-105.jpg,34.1,399.6,2.151423931121826
019-209.jpg,21.8,401.6,2.062199831008911
001-122.jpg,23.6,402.8,2.0791330337524414
075-167.jpg,22.3,400.5,2.086606979370117
075-173.jpg,30.3,400.8,2.0551040172576904
002-52.jpg,20.1,398.8,2.0564019680023193
075-198.jpg,22.5,403.5,2.0563929080963135
002-156.jpg,28.8,405.1,2.135607957839966
012-94.jpg,26.7,405.0,2.070927858352661
012-95.jpg,23.5,403.5,2.0636439323425293
018-108.jpg,31.4,403.7,2.072366237640381
005-66.jpg,28.9,401.1,2.117478847503662
002-157.jpg,25.0,385.1,2.551229953765869
089-60.jpg,33.3,398.5,2.0891730785369873
002-53.jpg,32.5,398.5,2.1199498176574707
002-90.jpg,27.4,399.5,2.152009963989258
075-172.jpg,54.8,398.8,2.0686872005462646
075-166.jpg,38.2,399.7,2.1594271659851074
001-123.jpg,24.9,404.1,2.0887300968170166
036-80.jpg,34.8,402.6,2.078673839569092
003-6.jpg,32.8,394.9,2.1273422241210938
037-123.jpg,31.8,399.0,2.080169916152954
028-213.jpg,26.7,396.5,2.1442160606384277
075-170.jpg,21.7,396.8,2.0655412673950195
002-86.jpg,23.4,396.8,2.061624050140381
075-164.jpg,31.6,397.0,2.0805470943450928
019-133.jpg,29.1,395.2,2.079289197921753
002-196.jpg,38.8,397.7,2.0944440364837646
002-51.jpg,37.8,394.7,2.121953010559082
002-155.jpg,41.4,395.4,2.057081937789917
012-97.jpg,34.7,396.9,2.183845043182373
005-101.jpg,50.8,401.5,2.1980819702148438
013-192.jpg,31.3,399.3,2.1722960472106934
012-96.jpg,22.2,401.2,2.061298370361328
