Image Name,CPU Usage (%),Memory Usage (KB),Runtime (seconds)
020-117.jpg,22.0,134.0,2.14296293258667
013-48.jpg,13.2,105.9,2.0874409675598145
001-196.jpg,18.2,79.8,2.0538220405578613
019-147.jpg,17.2,72.7,2.0756940841674805
038-105.jpg,14.7,68.6,2.0681610107421875
001-60.jpg,17.5,64.7,2.0605030059814453
001-61.jpg,5.8,63.7,2.0858139991760254
002-30.jpg,15.2,77.6,2.074767827987671
012-108.jpg,11.7,72.1,2.0811290740966797
019-146.jpg,49.1,73.4,2.077458143234253
001-197.jpg,54.5,70.4,2.059597969055176
027-41_2.jpg,43.5,63.4,2.053234100341797
030-100.jpg,26.3,63.2,2.060960054397583
001-142.jpg,33.0,63.1,2.0611042976379395
030-80.jpg,69.4,68.9,2.1305649280548096
001-88.jpg,52.8,66.3,2.068314790725708
005-189.jpg,45.5,69.5,2.0822200775146484
001-63.jpg,67.1,68.1,2.293365001678467
001-62.jpg,47.5,69.3,2.131736993789673
001-89.jpg,45.5,68.4,2.0731301307678223
039-99.jpg,58.4,70.6,2.1570019721984863
019-145.jpg,45.9,69.5,2.1116459369659424
001-143.jpg,13.2,65.4,2.064617872238159
084-122.jpg,16.1,74.2,2.0598390102386475
019-227.jpg,16.3,71.7,2.0654828548431396
013-66.jpg,10.5,71.2,2.0735340118408203
001-231.jpg,15.2,68.9,2.0536417961120605
020-43.jpg,30.0,73.6,2.0587990283966064
020-80.jpg,10.7,68.7,2.0731568336486816
075-43.jpg,27.8,73.5,2.0619709491729736
002-36.jpg,24.6,67.5,2.0623090267181396
002-126.jpg,31.8,71.4,2.075251817703247
019-154.jpg,37.5,69.3,2.0951180458068848
045-193.jpg,29.0,72.1,2.0679171085357666
020-6.jpg,25.3,71.8,2.071563959121704
006-104.jpg,22.4,81.5,2.0769948959350586
045-230.jpg,26.6,83.5,2.067380905151367
001-144.jpg,39.4,74.1,2.0962350368499756
005-206.jpg,31.0,71.3,2.057889938354492
001-232.jpg,48.7,69.8,2.0730090141296387
001-64.jpg,29.0,72.6,2.0635082721710205
001-70.jpg,30.6,66.1,2.07778000831604
005-171.jpg,33.8,68.0,2.0723321437835693
001-233.jpg,36.6,65.0,2.0744729042053223
002-35.jpg,30.8,63.8,2.0670976638793945
005-14.jpg,41.0,66.8,2.069711923599243
037-59.jpg,34.6,63.3,2.069620132446289
001-151.jpg,41.7,62.8,2.0617411136627197
006-105.jpg,44.7,64.7,2.0810391902923584
019-209.jpg,31.4,62.7,2.0806591510772705
001-122.jpg,38.6,65.5,2.0716867446899414
075-167.jpg,59.2,50.8,2.0780141353607178
075-173.jpg,53.3,44.7,2.0787670612335205
002-52.jpg,55.5,40.1,2.0846140384674072
075-198.jpg,52.4,40.0,2.0756280422210693
002-156.jpg,46.3,46.8,2.266422986984253
012-94.jpg,39.5,46.2,2.0858170986175537
012-95.jpg,47.6,46.9,2.074747085571289
018-108.jpg,39.0,40.2,2.0687949657440186
005-66.jpg,32.5,44.8,2.1339762210845947
002-157.jpg,13.4,44.5,2.0771238803863525
089-60.jpg,8.1,45.1,2.0719921588897705
002-53.jpg,20.8,42.2,2.0642218589782715
002-90.jpg,17.2,41.9,2.064768075942993
075-172.jpg,7.5,42.4,2.0676181316375732
075-166.jpg,8.9,41.4,2.0637240409851074
001-123.jpg,11.3,43.2,2.0602240562438965
036-80.jpg,22.8,47.1,2.071336030960083
003-6.jpg,10.7,48.6,2.0637080669403076
037-123.jpg,11.4,48.8,2.064681053161621
028-213.jpg,18.5,46.4,2.0728611946105957
075-170.jpg,39.9,53.0,2.0747220516204834
002-86.jpg,9.2,39.6,2.0717811584472656
075-164.jpg,8.2,39.6,2.0619139671325684
019-133.jpg,28.2,39.8,2.069286823272705
002-196.jpg,15.3,44.5,2.0893959999084473
002-51.jpg,54.8,44.9,2.111833095550537
002-155.jpg,29.5,44.3,2.0710368156433105
012-97.jpg,9.0,42.2,2.05721116065979
005-101.jpg,34.8,44.0,2.0590288639068604
013-192.jpg,29.2,39.5,2.0608041286468506
012-96.jpg,27.1,46.7,2.1613528728485107
006-202.jpg,10.7,45.8,2.06124210357666
002-50.jpg,5.7,44.7,2.0569732189178467
019-126.jpg,5.8,42.5,2.0567729473114014
002-197.jpg,7.6,40.0,2.0576038360595703
019-132.jpg,26.4,44.2,2.071936845779419
002-87.jpg,38.8,44.8,2.0642151832580566
075-165.jpg,37.8,39.5,2.0621390342712402
030-21.jpg,41.4,49.4,2.0591959953308105
075-171.jpg,34.7,48.1,2.078477144241333
001-108.jpg,50.2,48.1,2.184277057647705
003-7.jpg,34.5,47.8,2.098205089569092
003-14.jpg,22.4,50.8,2.079090118408203
001-124.jpg,22.8,52.9,2.0839080810546875
019-136.jpg,25.7,59.4,2.0826170444488525
075-175.jpg,19.5,66.0,2.0848021507263184
002-83.jpg,23.5,75.1,2.0809199810028076
002-68.jpg,23.2,74.0,2.072266101837158
002-178.jpg,33.1,60.8,2.0685293674468994
005-49.jpg,75.6,56.1,2.059946060180664
012-93.jpg,24.8,44.8,2.155547857284546
005-48.jpg,38.3,50.4,2.060225009918213
002-69.jpg,48.1,42.8,2.1125330924987793
002-82.jpg,30.6,45.2,2.131402015686035
075-174.jpg,32.0,46.5,2.0683481693267822
019-123.jpg,28.5,39.2,2.0632331371307373
019-137.jpg,24.7,42.0,2.0550289154052734
003-15.jpg,55.0,44.8,2.0772716999053955
019-135.jpg,57.2,44.7,2.1089422702789307
075-176.jpg,34.4,46.1,2.0760109424591064
075-189.jpg,32.3,46.7,2.059295892715454
012-91.jpg,43.8,48.1,2.06954026222229
013-156.jpg,36.9,48.3,2.0592970848083496
075-188.jpg,31.6,47.0,2.0672607421875
076-99.jpg,25.4,46.5,2.0599820613861084
075-177.jpg,28.1,45.4,2.0606040954589844
075-163.jpg,29.8,47.0,2.0596492290496826
019-134.jpg,28.0,44.0,2.05720591545105
063-103.jpg,36.9,40.5,2.0634093284606934
075-185.jpg,28.9,42.2,2.080784797668457
002-67.jpg,29.9,46.5,2.0606977939605713
075-191.jpg,26.6,43.2,2.05771803855896
002-177.jpg,24.1,40.5,2.05812931060791
018-100.jpg,24.2,42.0,2.0588278770446777
018-101.jpg,19.0,53.3,2.054596185684204
005-136.jpg,13.5,43.8,2.062500238418579
002-162.jpg,23.5,47.7,2.0605709552764893
089-41.jpg,16.2,48.4,2.070749044418335
075-190.jpg,64.8,41.8,2.0592808723449707
075-184.jpg,18.6,46.1,2.0615830421447754
002-66.jpg,16.6,44.6,2.0563111305236816
019-138.jpg,12.3,45.2,2.1644718647003174
030-156.jpg,12.8,43.4,2.0563318729400635
002-216.jpg,6.3,42.2,2.0599071979522705
037-102.jpg,7.7,42.9,2.0916998386383057
021-93.jpg,9.0,41.1,2.056252956390381
089-80.jpg,11.8,39.7,2.0669188499450684
075-179.jpg,8.4,39.7,2.0576109886169434
075-192.jpg,8.7,39.6,2.0597729682922363
075-186.jpg,9.9,42.1,2.0721123218536377
018-103.jpg,9.4,45.2,2.063749074935913
001-35.jpg,13.5,39.3,2.081472873687744
001-34.jpg,12.4,44.8,2.075018882751465
018-102.jpg,13.6,45.6,2.085468292236328
002-65.jpg,29.7,42.8,2.06784987449646
075-187.jpg,22.1,39.3,2.0616977214813232
020-221.jpg,10.1,41.5,2.064687967300415
075-193.jpg,9.4,45.7,2.0535738468170166
028-233.jpg,18.0,44.9,2.1016032695770264
006-169.jpg,31.0,44.2,2.108931064605713
006-186.jpg,23.9,46.3,2.069917917251587
042-41.jpg,21.8,49.7,2.0605010986328125
013-30.jpg,31.4,44.0,2.072453022003174
023-44.jpg,29.6,46.4,2.096356153488159
005-83.jpg,30.3,53.6,2.067439079284668
075-168.jpg,26.2,51.5,2.0980846881866455
002-49.jpg,26.1,49.7,2.060459852218628
075-197.jpg,90.5,50.2,2.056199312210083
075-183.jpg,40.1,45.5,2.2853729724884033
018-106.jpg,35.9,43.9,2.069932699203491
005-119.jpg,27.9,42.9,2.0641987323760986
013-174.jpg,35.9,46.1,2.0797460079193115
033-97.jpg,34.3,40.3,2.0817551612854004
005-118.jpg,29.5,42.5,2.0742881298065186
075-182.jpg,23.0,42.5,2.0586493015289307
075-196.jpg,32.9,45.7,2.0653340816497803
002-158.jpg,10.2,43.9,2.0793581008911133
075-169.jpg,21.9,48.9,2.0518548488616943
020-152.jpg,28.5,45.1,2.067523956298828
006-185.jpg,27.2,42.9,2.1763787269592285
037-104.jpg,10.9,45.3,2.104182720184326
002-89.jpg,16.1,47.3,2.0626449584960938
075-180.jpg,10.9,42.7,2.0594449043273926
075-194.jpg,14.8,42.0,2.062337875366211
006-218.jpg,13.4,43.0,2.0660948753356934
012-98.jpg,11.3,41.8,2.0627288818359375
001-33.jpg,12.5,41.9,2.0574138164520264
033-95.jpg,10.6,44.9,2.0748918056488037
001-32.jpg,17.6,43.2,2.0555269718170166
012-99.jpg,30.7,45.8,2.1099047660827637
075-195.jpg,19.1,47.4,2.0577259063720703
006-219.jpg,14.9,39.8,2.056663990020752
075-181.jpg,7.6,42.4,2.071491241455078
002-198.jpg,30.8,47.1,2.0807979106903076
002-88.jpg,46.8,45.1,2.078183889389038
006-153.jpg,49.5,45.6,2.0750110149383545
002-211.jpg,71.0,44.0,2.809774875640869
006-120.jpg,53.7,41.8,2.1265170574188232
001-160.jpg,44.9,43.5,2.0914549827575684
030-61.jpg,46.6,44.3,2.113769054412842
075-119.jpg,41.1,44.7,2.0898828506469727
005-31.jpg,41.0,43.9,2.0777459144592285
001-216.jpg,47.9,45.3,2.0663540363311768
005-154.jpg,46.9,47.4,2.0861361026763916
001-82.jpg,40.5,49.7,2.079159736633301
001-69.jpg,37.2,45.3,2.082512855529785
001-54.jpg,30.3,48.9,2.0786068439483643
030-60.jpg,30.8,48.9,2.083310127258301
005-223.jpg,35.5,47.8,2.080245018005371
001-161.jpg,32.6,51.0,2.08469295501709
006-121.jpg,39.0,46.8,2.0787298679351807
030-137.jpg,31.3,48.4,2.1189138889312744
020-109.jpg,39.2,44.9,2.08772611618042
006-137.jpg,22.6,44.4,2.0732369422912598
001-177.jpg,40.4,39.8,2.072524070739746
012-103.jpg,22.7,44.5,2.0648159980773926
001-81.jpg,10.0,47.1,2.0598442554473877
006-88.jpg,29.7,45.8,2.056852340698242
001-215.jpg,12.5,43.7,2.095468044281006
020-99.jpg,35.4,48.7,2.075486898422241
001-214.jpg,19.5,50.1,2.0915069580078125
006-89.jpg,63.1,45.1,2.0896971225738525
001-162.jpg,15.8,43.3,2.065640926361084
